Case,Result,Reason,Remark
testDistinctCount2,ERROR,GROUPBY,
testDistinctCount3,ERROR,CAST,
testExpandProjectIn,ERROR,OUTERJOIN,
testReduceNullableCase2,ERROR,NULL,
testPushCountStarGroupingSetsThroughUnion,ERROR,ERROR,check
testDistinctNonDistinctAggregates,ERROR,GROUPBY,
testMergeSetOpMixed,ERROR,INTERSECT,
testDistinctNonDistinctAggregatesWithGrouping1,ERROR,GROUPBY,
testDistinctNonDistinctAggregatesWithGrouping2,ERROR,GROUPBY,
testReduceConstantsIsNotNull,ERROR,NULL,
testPushMinGroupingSetsThroughUnion,ERROR,GROUPBY,check (interesting)
testPullConstantThroughAggregateConstGroupBy,ERROR,GROUPBY,
testPullConstantThroughAggregatePermuted,ERROR,GROUPBY,
testEmptyIntersect,ERROR,INTERSECT,
testPushProjectPastRightJoinSwap,ERROR,OUTERJOIN,
testPullConstantIntoProject,UNKNOWN,,Not provable
testTransitiveInferenceUnionAlwaysTrue,ERROR,ERROR,
testReduceCompositeInSubQuery,ERROR,IN,
testMergeIntersect,ERROR,INTERSECT,
testPushSumConstantThroughUnion,ERROR,GROUPBY,
testAddRedundantSemiJoinRule,NEQ,,
testExpandProjectExists,ERROR,GROUPBY,
testRemoveSemiJoinWithFilter,UNKNOWN,,
testRightOuterJoinSimplificationToInner,ERROR,OUTERJOIN,
testDistinctCountMixed,ERROR,CAST,
testPushJoinCondDownToProject,UNKNOWN,,later
testRemoveSemiJoinRightWithFilter,MP,,
testFullOuterJoinSimplificationToLeftOuter,ERROR,OUTERJOIN,
testPullConstantThroughAggregatePermutedConstFirst,ERROR,GROUPBY,
testTransitiveInferenceUnion,ERROR,ERROR,check
testPullConstantIntoJoin,ERROR,OUTERJOIN,
testReduceConstantsCaseEquals2,ERROR,NULL,
testReduceConstantsCaseEquals3,ERROR,CASE,
testExpandJoinScalar,ERROR,OUTERJOIN,
testPullConstantThroughAggregateAllLiterals,ERROR,GROUPBY,
testSwapOuterJoin,ERROR,OUTERJOIN,
testPushJoinThroughUnionOnLeft,MP,,
testMergeUnionMixed2,ERROR,UNION,
testPushFilterPastAggThree,EQ,,
testReduceConstantsEliminatesFilter,ERROR,VALUES,
testExpandFilterExists,ERROR,OUTERJOIN,
testAggregateProjectPullUpConstants,UNKNOWN,,
testPushProjectPastFilter2,ERROR,CASE,
testSemiJoinReduceConstants,ERROR,CALCITEBUG,
testExpandProjectScalar,ERROR,OUTERJOIN,
testDistinctCountMultipleNoGroup,ERROR,GROUPBY,
testExpandProjectInNullable,ERROR,NULL,
testPullFilterThroughAggregate,MP,,Interesting
testAggregateConstantKeyRule2,EQ,,
testAggregateConstantKeyRule3,ERROR,NULL,
testPullConstantIntoJoin2,UNKNOWN,CALCITEBUG,Not provable
testPushProjectPastInnerJoinStrong,ERROR,CASE,
testPushProjectPastLeftJoinSwap,ERROR,CASE,
testSemiJoinRuleFull,ERROR,OUTERJOIN,
testSemiJoinRuleLeft,ERROR,OUTERJOIN,
testExpandProjectInComposite,ERROR,OUTERJOIN,
testEmptyJoinLeft,ERROR,OUTERJOIN,
testReduceNestedCaseWhen,ERROR,NULL,
testTransitiveInferenceRightOuterJoin,ERROR,OUTERJOIN,
testDistinctCountMixed2,ERROR,CAST,
testPushSumNullConstantGroupingSetsThroughUnion,ERROR,NULL,
testExpandFilterIn3Value,ERROR,NULL,
testSortUnionTranspose2,ERROR,ORDERBY,
testSortUnionTranspose3,ERROR,ORDERBY,
testTransitiveInferenceComplexPredicate,MP,,
testExpandFilterScalar,ERROR,OUTERJOIN,
testAlreadyFalseEliminatesFilter,ERROR,VALUES,
testPushMaxNullableThroughUnion,ERROR,GROUPBY,
testPullConstantThroughUnion2,EQ,,
testPullConstantThroughUnion3,MP,,can be automated
testPushProjectPastRightJoin,ERROR,OUTERJOIN,
testMergeUnionMixed,ERROR,UNION,
